ID,Cliente_ID,Canal,Tier,Mensaje_Cliente,Es_Duplicado,Es_Corrupto
BATCH_001,CUST-1001,support_ticket,Enterprise,"Excelente servicio y rapidez en la respuesta del asesor.",False,False
BATCH_002,CUST-1002,chat,Standard,"No puedo acceder a mi panel desde ayer, me da error 500.",False,False
BATCH_003,CUST-1003,review,Enterprise,"Estamos evaluando cancelar la suscripción por caídas continuas.",False,False
BATCH_004,CUST-1004,nps_survey,Standard,"Todo muy bien, me gusta la facilidad de uso.",False,False
BATCH_005,CUST-1005,support_ticket,Enterprise,"Soy Juan Gómez Cédula 102030, cobraron el doble en la factura.",False,False
BATCH_006,CUST-1006,chat,Standard,"¿Cómo puedo exportar mis datos a un archivo CSV?",False,False
BATCH_007,CUST-1007,support_ticket,Enterprise,"El equipo directivo ordenó suspender el cobro recurrente automático.",False,False
BATCH_008,CUST-1008,review,Standard,"Una porquería de soporte, me colgaron la llamada.",False,False
BATCH_009,CUST-1009,support_ticket,Enterprise,"La sincronización de la API falló durante el cierre de ventas.",False,False
BATCH_010,CUST-1010,nps_survey,Standard,"Muy satisfecho con la atención brindada por el equipo.",False,False
BATCH_001,CUST-1001,support_ticket,Enterprise,"Excelente servicio y rapidez en la respuesta del asesor.",True,False
BATCH_011,CUST-1011,support_ticket,Enterprise,"Si no aumentan el límite de consultas, migraremos a AWS.",False,False
BATCH_012,CUST-1012,chat,Standard,"Muchas gracias por solucionar el inconveniente tan rápido.",False,False
BATCH_013,CUST-1013,review,Enterprise,"Una maravilla su sistema... borró los datos y nadie responde.",False,False
BATCH_014,CUST-1014,support_ticket,Standard,"Cargo indebido en mi tarjeta de crédito 4532... favor reembolsar.",False,False
BATCH_015,CUST-1015,nps_survey,Enterprise,"La plataforma es muy estable y rápida, gran trabajo.",False,False
BATCH_016,CUST-1016,chat,Standard,"Llevo 3 días esperando respuesta sobre mi solicitud de clave.",False,False
BATCH_017,CUST-1017,support_ticket,Enterprise,"Iniciaremos la transición a otro software este fin de semana.",False,False
BATCH_018,CUST-1018,review,Standard,"Excelente aplicación, muy recomendada para empresas.",False,False
BATCH_019,CUST-1019,support_ticket,Enterprise,"El asesor asignado no asistió a la reunión de seguimiento.",False,False
BATCH_020,CUST-1020,chat,Standard,"Mi clave privada es admin123 y mi teléfono es 3001112233.",False,False
BATCH_005,CUST-1005,support_ticket,Enterprise,"Soy Juan Gómez Cédula 102030, cobraron el doble en la factura.",True,False
BATCH_021,CUST-1021,support_ticket,Enterprise,"Pedimos revocar el contrato firmado debido al bajo rendimiento.",False,False
BATCH_022,CUST-1022,nps_survey,Standard,"El sistema funciona de maravilla, felicitaciones.",False,False
BATCH_023,CUST-1023,chat,Enterprise,"La base de datos se bloquea cada vez que hacemos consultas.",False,False
BATCH_024,CUST-1024,review,Standard,"Pésimo servicio al cliente, nadie se hace responsable del fallo.",False,False
BATCH_025,CUST-1025,support_ticket,Enterprise,"Exigimos la devolución del saldo a favor; migramos a otra app.",False,False
BATCH_026,CUST-1026,chat,Standard,"Buenas tardes, quería consultar sobre los planes de pago.",False,False
BATCH_027,CUST-1027,support_ticket,Enterprise,"Filtraron el token de producción eyJhb... en la sección pública.",False,False
BATCH_028,CUST-1028,nps_survey,Standard,"La interfaz es intuitiva y fácil de usar.",False,False
BATCH_029,CUST-1029,review,Enterprise,"Nos vemos forzados a buscar otra alternativa en el mercado.",False,False
BATCH_030,CUST-1030,chat,Standard,"La app se cierra sola cada vez que intento abrir el perfil.",False,False
BATCH_011,CUST-1011,support_ticket,Enterprise,"Si no aumentan el límite de consultas, migraremos a AWS.",True,False
BATCH_031,CUST-1031,support_ticket,Enterprise,"Aumento abusivo en la factura mensual sin notificación previa.",False,False
BATCH_032,CUST-1032,chat,Standard,"Todo quedó resuelto de manera impecable, gracias.",False,False
BATCH_033,CUST-1033,review,Enterprise,"El departamento de compras ya está evaluando a la competencia.",False,False
BATCH_034,CUST-1034,support_ticket,Standard,"Demora de más de 48 horas para atender un ticket urgente.",False,False
BATCH_035,CUST-1035,nps_survey,Enterprise,"Gran soporte técnico y excelente estabilidad.",False,False
BATCH_036,CUST-1036,chat,Standard,"¿Tienen algún teléfono donde pueda comunicarme con un asesor?",False,False
BATCH_037,CUST-1037,support_ticket,Enterprise,"Ya construimos un módulo interno para reemplazar este sistema.",False,False
BATCH_038,CUST-1038,review,Standard,"Me debitaron dos veces la mensualidad en la cuenta bancaria.",False,False
BATCH_039,CUST-1039,support_ticket,Enterprise,"El tiempo de inactividad superó el límite acordado en el SLA.",False,False
BATCH_040,CUST-1040,nps_survey,Standard,"Muy contento con las nuevas funciones de la versión 2.0.",False,False
BATCH_017,CUST-1017,support_ticket,Enterprise,"Iniciaremos la transición a otro software este fin de semana.",True,False
BATCH_041,CUST-1041,chat,Enterprise,"Por favor envíen la confirmación de cancelación de suscripción.",False,False
BATCH_042,CUST-1042,support_ticket,Standard,"No me llega el correo de restablecimiento de contraseña.",False,False
BATCH_043,CUST-1043,review,Enterprise,"Hermoso servicio... borraron los permisos y no dan soporte.",False,False
BATCH_044,CUST-1044,nps_survey,Standard,"Atención rápida, amable y eficiente.",False,False
BATCH_045,CUST-1045,support_ticket,Enterprise,"Solicito formalmente la baja total de nuestros 50 usuarios corporativos.",False,False
BATCH_046,CUST-1046,chat,Standard,"Esta aplicación es una pérdida de tiempo, no sirve para nada.",False,False
BATCH_047,CUST-1047,review,Enterprise,"La latencia de respuesta empeoró drásticamente esta semana.",False,False
BATCH_048,CUST-1048,support_ticket,Standard,"Mi nombre es Carlos Ruiz, confirmo mi dirección en Cra 45 # 12.",False,False
BATCH_049,CUST-1049,nps_survey,Enterprise,"Excelente herramienta, optimizó todos nuestros procesos.",False,False
