customer_external_id,source_type,tier,content,external_reference_id
CUST-1002,review,Enterprise,Exijo la devolución total de la mensualidad; el servicio es inestable y migraremos a otro proveedor este fin de semana.,EVT-0000001
CUST-1003,support_ticket,Enterprise,Cobro duplicado en nuestra tarjeta de crédito empresarial y soporte no contesta nuestros correos de alta prioridad.,EVT-0000002
CUST-1004,nps_survey,Enterprise,Solicito la baja definitiva de nuestros 50 accesos de equipo por caídas continuas.,EVT-0000003
CUST-1005,chat,Enterprise,La junta directiva autorizó rescindir el contrato inmediatamente debido a los fallos en producción.,EVT-0000004
CUST-1006,review,Enterprise,"Fantástico servicio, me encanta pagar el doble por un software que se congela todo el día y no deja exportar datos.",EVT-0000005
CUST-1007,support_ticket,Enterprise,"Genios absolutos, cobraron el triple en la factura de este mes y borraron los accesos de auditoría.",EVT-0000006
CUST-1008,chat,Pro,Una maravilla su plataforma... borró la base de datos y nadie responde en el chat.,EVT-0000007
CUST-1009,review,Standard,"Hermoso soporte, 3 días esperando respuesta para que me digan que reinicie la máquina.",EVT-0000008
CUST-1010,support_ticket,Pro,La API devuelve error 500 intermitente cada vez que enviamos más de 100 consultas por minuto.,EVT-0000009
CUST-1011,chat,Standard,No me llega el correo de verificación para restablecer la contraseña.,EVT-0000010
CUST-1012,support_ticket,Standard,El botón de descargar reportes en formato PDF y Excel no responde en el navegador.,EVT-0000011
CUST-1013,support_ticket,Pro,Llevamos más de 48 horas esperando respuesta al ticket de soporte urgente.,EVT-0000012
CUST-1014,chat,Enterprise,La latencia de sincronización empeoró drásticamente después del último despliegue.,EVT-0000013
CUST-1015,support_ticket,Standard,Inconsistencia en los totales facturados durante el cierre del mes anterior.,EVT-0000014
CUST-1016,nps_survey,Enterprise,"Excelente herramienta, optimizó el tiempo de nuestro equipo comercial de forma notable.",EVT-0000015
CUST-1017,review,Standard,"Muy fácil de usar, la interfaz es moderna y muy intuitiva.",EVT-0000016
CUST-1018,chat,Pro,"Muchas gracias por solucionar nuestro inconveniente en menos de 10 minutos, gran atención.",EVT-0000017
